pattern_id,entry_date,exit_date,entry_price,exit_price,direction,profit_pct,hit_target,hit_stop,bars_held
1,2022-05-26,2022-05-27,29167.72,28584.3656,bullish,-0.020000000000000004,False,True,1
2,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
3,2022-12-19,2023-01-01,16437.64,16610.74,bullish,0.010530708787879659,False,False,13
4,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
5,2022-12-19,2023-01-01,16437.64,16610.74,bullish,0.010530708787879659,False,False,13
6,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
7,2022-11-21,2022-11-23,15756.6,16544.43,bullish,0.049999999999999996,True,False,2
8,2022-11-28,2022-11-30,16206.23,17016.5415,bullish,0.04999999999999999,True,False,2
9,2022-12-19,2023-01-01,16437.64,16610.74,bullish,0.010530708787879659,False,False,13
10,2022-11-09,2022-11-10,15891.72,16686.306,bullish,0.05000000000000007,True,False,1
